Sample,Line,Gen,S_Count,DvA,Pheno,Geno,RootLg,ShootWd,INTmg,FINmg,DpG,SC_Total,SC_PerT,SC_STDEV_Tot,SC_STDEV_WT
1,WT,1,0,DEAD,WT,WT,0,0,0,0,7,40,0,28.28427125,0
2,rus1-2,1,2,DEAD,RR1,HZM,0,0,0,0,7,40,0.05,26.87005769,1.414213562
3,rus2-1,1,1,DEAD,RR2,HZM,0,0,0,0,7,40,0.025,27.57716447,0.707106781
4,pdx1-3,1,2,DEAD,PP1,HZM,0,0,0,0,7,40,0.05,26.87005769,1.414213562
5,pdx2-1,1,12,DEAD,PP2,HZM,0,0,0,0,7,40,0.3,19.79898987,8.485281374
6,pdx3.3,1,5,DEAD,PP3,HZM,0,0,0,0,7,40,0.125,24.74873734,3.535533906
7,sos4.1,1,0,DEAD,SS4,HZM,0,0,0,0,7,40,0,28.28427125,0
8,WT,2,1,DEAD,WT,WT,0,0,0,0,7,40,0.025,27.57716447,0
9,Rr1/Pp1,2,78,DEAD,RR1/PP1,HE,0,0,0,0,7,100,0.78,15.55634919,54.44722215
10,Rr1/Pp2,2,9,DEAD,RR1/PP2,HE,0,0,0,0,7,40,0.225,21.92031022,5.656854249
11,Rr1/Pp3,2,7,DEAD,RR1/PP3,HE,0,0,0,0,7,126,0.055555556,84.14570696,4.242640687
12,Rr1/Ss4,2,4,DEAD,RR1/SS4,HE,0,0,0,0,7,114,0.035087719,77.78174593,2.121320344
13,Rr2/Pp1,2,4,DEAD,RR2/PP1,HE,0,0,0,0,7,111,0.036036036,75.66042559,2.121320344
14,Rr2/Pp2,2,6,DEAD,RR2/PP2,HE,0,0,0,0,7,117,0.051282051,78.48885271,3.535533906
15,Rr2/Pp3,2,3,DEAD,RR2/PP3,HE,0,0,0,0,7,105,0.028571429,72.12489168,1.414213562
16,Rr2/Ss4,2,11,DEAD,RR2/SS4,HE,0,0,0,0,7,108,0.101851852,68.58935778,7.071067812
17,WT,3,0,DEAD,WT,WT,0,0,0,0,7,40,0,28.28427125,0
18,rr1/Pp1,3,30,DEAD,RR1/PP1,HZM/HE,0,0,0,0,7,35,0.857142857,3.535533906,21.21320344
19,rr1/Pp2,3,38,DEAD,RR1/PP2,HZM/HE,0,0,0,0,7,46,0.826086957,5.656854249,26.87005769
20,rr1/Pp3,3,43,DEAD,RR1/PP3,HZM/HE,0,0,0,0,7,51,0.843137255,5.656854249,30.40559159
21,rr1/Ss4,3,64,DEAD,RR1/SS4,HZM/HE,0,0,0,0,7,76,0.842105263,8.485281374,45.254834
22,rr2/Pp1,3,0,DEAD,RR2/PP1,HZM/HE,0,0,0,0,7,0,0,0,0
23,rr2/Pp2,3,0,DEAD,RR2/PP2,HZM/HE,0,0,0,0,7,0,0,0,0
24,rr2/Pp3,3,37,DEAD,RR2/PP3,HZM/HE,0,0,0,0,7,40,0.925,2.121320344,26.1629509
25,rr2/Ss4,3,39,DEAD,RR2/SS4,HZM/HE,0,0,0,0,7,40,0.975,0.707106781,27.57716447
26,WT,1,0,DEAD,WT,WT,0,0,0,0,7,100,0,70.71067812,0
27,rus1-2,1,13,DEAD,RR1,HE,0,0,0,0,7,150,0.086666667,96.87362902,9.192388155
28,rus1-2,1,21,DEAD,RR1,HE,0,0,0,0,7,150,0.14,91.21677477,14.8492424
29,rus1-2,1,12,DEAD,RR1,HE,0,0,0,0,7,150,0.08,97.5807358,8.485281374
30,pdx3.3,1,3,DEAD,PP3,HE,0,0,0,0,7,150,0.02,103.9446968,2.121320344
31,pdx3.3,1,1,DEAD,PP3,HE,0,0,0,0,7,150,0.006666667,105.3589104,0.707106781
32,pdx3.3,1,0,DEAD,PP3,HE,0,0,0,0,7,150,0,106.0660172,0
33,sos4.1,1,7,DEAD,SS4,HE,0,0,0,0,7,150,0.046666667,101.1162697,4.949747468
34,sos4.1,1,13,DEAD,SS4,HE,0,0,0,0,7,150,0.086666667,96.87362902,9.192388155
35,sos4.1,1,5,DEAD,SS4,HE,0,0,0,0,7,150,0.033333333,102.5304833,3.535533906
36,Rr1/Pp3,2,4,DEAD,RR1/PP3,HE,0,0,0,0,7,193,0.020725389,133.6431816,2.828427125
37,rr1/Pp1,3,26,DEAD,RR1/PP1,HZM/HE,0,0,0,0,7,31,0.838709677,3.535533906,18.38477631
38,rr1/Pp2,3,0,DEAD,RR1/PP2,HZM/HE,0,0,0,0,7,8,0,5.656854249,0
39,rr1/Ss4,3,10,DEAD,RR1/SS4,HZM/HE,0,0,0,0,7,11,0.909090909,0.707106781,7.071067812
40,WT,1,40,ALIVE,WT,WT,8.838,0,3,0,7,40,1,0,0
41,rus1-2,1,38,ALIVE,RR1,HZM,0.802,0,3,0,7,40,0.95,1.414213562,1.414213562
42,rus2-1,1,39,ALIVE,RR2,HZM,0.51,0,3,0,7,40,0.975,0.707106781,0.707106781
43,pdx1-3,1,38,ALIVE,PP1,HZM,10.01,0,3,0,7,40,0.95,1.414213562,1.414213562
44,pdx2-1,1,28,ALIVE,PP2,HZM,9.916,0,3,0,7,40,0.7,8.485281374,8.485281374
45,pdx3.3,1,35,ALIVE,PP3,HZM,9.317,0,3,0,7,40,0.875,3.535533906,3.535533906
46,sos4.1,1,40,ALIVE,SS4,HZM,1.663,0,3,0,7,40,1,0,0
47,WT,2,39,ALIVE,WT,WT,10.178,0,2,0,7,40,0.975,0.707106781,0
48,Rr1/Pp1,2,22,ALIVE,RR1/PP1,HE,0,0,2,0,7,100,0.22,55.15432893,12.02081528
49,Rr1/Pp2,2,31,ALIVE,RR1/PP2,HE,0,0,2.1,0,7,40,0.775,6.363961031,5.656854249
50,Rr1/Pp3,2,119,ALIVE,RR1/PP3,HE,0,0,2.1,0,7,126,0.944444444,4.949747468,56.56854249
51,Rr1/Ss4,2,110,ALIVE,RR1/SS4,HE,0,0,2,0,7,114,0.964912281,2.828427125,50.20458146
52,Rr2/Pp1,2,107,ALIVE,RR2/PP1,HE,0,0,2,0,7,111,0.963963964,2.828427125,48.08326112
53,Rr2/Pp2,2,111,ALIVE,RR2/PP2,HE,0,0,2,0,7,117,0.948717949,4.242640687,50.91168825
54,Rr2/Pp3,2,102,ALIVE,RR2/PP3,HE,0,0,2,0,7,105,0.971428571,2.121320344,44.54772721
55,Rr2/Ss4,2,97,ALIVE,RR2/SS4,HE,0,0,2.1,0,7,108,0.898148148,7.778174593,41.01219331
56,WT,3,40,ALIVE,WT,WT,8.891,0,0,0,7,40,1,0,0
57,rr1/Pp1,3,5,ALIVE,RR1/PP1,HZM/HE,0,0,0,0,7,35,0.142857143,21.21320344,24.74873734
58,rr1/Pp2,3,8,ALIVE,RR1/PP2,HZM/HE,0,0,0,0,7,46,0.173913043,26.87005769,22.627417
59,rr1/Pp3,3,8,ALIVE,RR1/PP3,HZM/HE,0,0,0,0,7,51,0.156862745,30.40559159,22.627417
60,rr1/Ss4,3,12,ALIVE,RR1/SS4,HZM/HE,0,0,0,0,7,76,0.157894737,45.254834,19.79898987
61,rr2/Pp1,3,0,ALIVE,RR2/PP1,HZM/HE,0,0,0,0,7,0,0,0,28.28427125
62,rr2/Pp2,3,0,ALIVE,RR2/PP2,HZM/HE,0,0,0,0,7,0,0,0,28.28427125
63,rr2/Pp3,3,3,ALIVE,RR2/PP3,HZM/HE,0,0,0,0,7,40,0.075,26.1629509,26.1629509
64,rr2/Ss4,3,1,ALIVE,RR2/SS4,HZM/HE,0,0,0,0,7,40,0.025,27.57716447,27.57716447
65,WT,1,100,ALIVE,WT,WT,10.348,0,3,0,7,100,1,0,0
66,rus1-2,1,137,ALIVE,RR1,HE,0.254,0,3,0,7,150,0.913333333,9.192388155,26.1629509
67,rus1-2,1,129,ALIVE,RR1,HE,0.478,0,3,0,7,150,0.86,14.8492424,20.50609665
68,rus1-2,1,138,ALIVE,RR1,HE,0.499,0,3,0,7,150,0.92,8.485281374,26.87005769
69,pdx3.3,1,147,ALIVE,PP3,HE,3.273,0,3,0,7,150,0.98,2.121320344,33.23401872
70,pdx3.3,1,149,ALIVE,PP3,HE,2.698,0,3,0,7,150,0.993333333,0.707106781,34.64823228
71,pdx3.3,1,150,ALIVE,PP3,HE,9.014,0,3,0,7,150,1,0,35.35533906
72,sos4.1,1,143,ALIVE,SS4,HE,1.767,0,3,0,7,150,0.953333333,4.949747468,30.40559159
73,sos4.1,1,137,ALIVE,SS4,HE,0.701,0,3,0,7,150,0.913333333,9.192388155,26.1629509
74,sos4.1,1,145,ALIVE,SS4,HE,1.567,0,3,0,7,150,0.966666667,3.535533906,31.81980515
75,Rr1/Pp3,2,189,ALIVE,RR1/PP3,HE,0,0,2.1,0,7,193,0.979274611,2.828427125,62.93250353
76,rr1/Pp1,3,5,ALIVE,RR1/PP1,HZM/HE,0,0,0,0,7,31,0.161290323,18.38477631,67.17514421
77,rr1/Pp2,3,8,ALIVE,RR1/PP2,HZM/HE,0,0,0,0,7,8,1,0,65.05382387
78,rr1/Ss4,3,1,ALIVE,RR1/SS4,HZM/HE,0,0,0,0,7,11,0.090909091,7.071067812,70.00357134
